كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-44-1,دواء بنادول اكسترا تشغيلة 44-1,51.50,15.5%
SKU-44-2,دواء بنادول اكسترا تشغيلة 44-2,52.50,15.5%
SKU-44-3,دواء بنادول اكسترا تشغيلة 44-3,53.50,15.5%
SKU-44-4,دواء بنادول اكسترا تشغيلة 44-4,54.50,15.5%
SKU-44-5,دواء بنادول اكسترا تشغيلة 44-5,55.50,15.5%
SKU-44-6,دواء بنادول اكسترا تشغيلة 44-6,56.50,15.5%
SKU-44-7,دواء بنادول اكسترا تشغيلة 44-7,57.50,15.5%
SKU-44-8,دواء بنادول اكسترا تشغيلة 44-8,58.50,15.5%
SKU-44-9,دواء بنادول اكسترا تشغيلة 44-9,59.50,15.5%
SKU-44-10,دواء بنادول اكسترا تشغيلة 44-10,60.50,15.5%
SKU-44-11,دواء بنادول اكسترا تشغيلة 44-11,61.50,15.5%
SKU-44-12,دواء بنادول اكسترا تشغيلة 44-12,62.50,15.5%
SKU-44-13,دواء بنادول اكسترا تشغيلة 44-13,63.50,15.5%
SKU-44-14,دواء بنادول اكسترا تشغيلة 44-14,64.50,15.5%
SKU-44-15,دواء بنادول اكسترا تشغيلة 44-15,65.50,15.5%
SKU-44-16,دواء بنادول اكسترا تشغيلة 44-16,66.50,15.5%
SKU-44-17,دواء بنادول اكسترا تشغيلة 44-17,67.50,15.5%
SKU-44-18,دواء بنادول اكسترا تشغيلة 44-18,68.50,15.5%
SKU-44-19,دواء بنادول اكسترا تشغيلة 44-19,69.50,15.5%
SKU-44-20,دواء بنادول اكسترا تشغيلة 44-20,70.50,15.5%
