كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-055-01,صنف تجريبي رقم 55-1,120.00,18.0%
SKU-055-02,صنف تجريبي رقم 55-2,120.00,18.0%
SKU-055-03,صنف تجريبي رقم 55-3,120.00,18.0%
SKU-055-04,صنف تجريبي رقم 55-4,120.00,18.0%
SKU-055-05,صنف تجريبي رقم 55-5,120.00,18.0%
SKU-055-06,صنف تجريبي رقم 55-6,120.00,18.0%
SKU-055-07,صنف تجريبي رقم 55-7,120.00,18.0%
SKU-055-08,صنف تجريبي رقم 55-8,120.00,18.0%
SKU-055-09,صنف تجريبي رقم 55-9,120.00,18.0%
SKU-055-10,صنف تجريبي رقم 55-10,120.00,18.0%
SKU-055-11,صنف تجريبي رقم 55-11,120.00,18.0%
SKU-055-12,صنف تجريبي رقم 55-12,120.00,18.0%
SKU-055-13,صنف تجريبي رقم 55-13,120.00,18.0%
SKU-055-14,صنف تجريبي رقم 55-14,120.00,18.0%
SKU-055-15,صنف تجريبي رقم 55-15,120.00,18.0%
