كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-046-01,صنف تجريبي رقم 46-1,120.00,18.0%
SKU-046-02,صنف تجريبي رقم 46-2,120.00,18.0%
SKU-046-03,صنف تجريبي رقم 46-3,120.00,18.0%
SKU-046-04,صنف تجريبي رقم 46-4,120.00,18.0%
SKU-046-05,صنف تجريبي رقم 46-5,120.00,18.0%
SKU-046-06,صنف تجريبي رقم 46-6,120.00,18.0%
SKU-046-07,صنف تجريبي رقم 46-7,120.00,18.0%
SKU-046-08,صنف تجريبي رقم 46-8,120.00,18.0%
SKU-046-09,صنف تجريبي رقم 46-9,120.00,18.0%
SKU-046-10,صنف تجريبي رقم 46-10,120.00,18.0%
SKU-046-11,صنف تجريبي رقم 46-11,120.00,18.0%
SKU-046-12,صنف تجريبي رقم 46-12,120.00,18.0%
SKU-046-13,صنف تجريبي رقم 46-13,120.00,18.0%
SKU-046-14,صنف تجريبي رقم 46-14,120.00,18.0%
SKU-046-15,صنف تجريبي رقم 46-15,120.00,18.0%
