كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-25-1,دواء بنادول اكسترا تشغيلة 25-1,51.50,15.5%
SKU-25-2,دواء بنادول اكسترا تشغيلة 25-2,52.50,15.5%
SKU-25-3,دواء بنادول اكسترا تشغيلة 25-3,53.50,15.5%
SKU-25-4,دواء بنادول اكسترا تشغيلة 25-4,54.50,15.5%
SKU-25-5,دواء بنادول اكسترا تشغيلة 25-5,55.50,15.5%
SKU-25-6,دواء بنادول اكسترا تشغيلة 25-6,56.50,15.5%
SKU-25-7,دواء بنادول اكسترا تشغيلة 25-7,57.50,15.5%
SKU-25-8,دواء بنادول اكسترا تشغيلة 25-8,58.50,15.5%
SKU-25-9,دواء بنادول اكسترا تشغيلة 25-9,59.50,15.5%
SKU-25-10,دواء بنادول اكسترا تشغيلة 25-10,60.50,15.5%
SKU-25-11,دواء بنادول اكسترا تشغيلة 25-11,61.50,15.5%
SKU-25-12,دواء بنادول اكسترا تشغيلة 25-12,62.50,15.5%
SKU-25-13,دواء بنادول اكسترا تشغيلة 25-13,63.50,15.5%
SKU-25-14,دواء بنادول اكسترا تشغيلة 25-14,64.50,15.5%
SKU-25-15,دواء بنادول اكسترا تشغيلة 25-15,65.50,15.5%
SKU-25-16,دواء بنادول اكسترا تشغيلة 25-16,66.50,15.5%
SKU-25-17,دواء بنادول اكسترا تشغيلة 25-17,67.50,15.5%
SKU-25-18,دواء بنادول اكسترا تشغيلة 25-18,68.50,15.5%
SKU-25-19,دواء بنادول اكسترا تشغيلة 25-19,69.50,15.5%
SKU-25-20,دواء بنادول اكسترا تشغيلة 25-20,70.50,15.5%
