كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-100-01,صنف تجريبي رقم 100-1,120.00,18.0%
SKU-100-02,صنف تجريبي رقم 100-2,120.00,18.0%
SKU-100-03,صنف تجريبي رقم 100-3,120.00,18.0%
SKU-100-04,صنف تجريبي رقم 100-4,120.00,18.0%
SKU-100-05,صنف تجريبي رقم 100-5,120.00,18.0%
SKU-100-06,صنف تجريبي رقم 100-6,120.00,18.0%
SKU-100-07,صنف تجريبي رقم 100-7,120.00,18.0%
SKU-100-08,صنف تجريبي رقم 100-8,120.00,18.0%
SKU-100-09,صنف تجريبي رقم 100-9,120.00,18.0%
SKU-100-10,صنف تجريبي رقم 100-10,120.00,18.0%
SKU-100-11,صنف تجريبي رقم 100-11,120.00,18.0%
SKU-100-12,صنف تجريبي رقم 100-12,120.00,18.0%
SKU-100-13,صنف تجريبي رقم 100-13,120.00,18.0%
SKU-100-14,صنف تجريبي رقم 100-14,120.00,18.0%
SKU-100-15,صنف تجريبي رقم 100-15,120.00,18.0%
