كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-041-01,صنف تجريبي رقم 41-1,120.00,18.0%
SKU-041-02,صنف تجريبي رقم 41-2,120.00,18.0%
SKU-041-03,صنف تجريبي رقم 41-3,120.00,18.0%
SKU-041-04,صنف تجريبي رقم 41-4,120.00,18.0%
SKU-041-05,صنف تجريبي رقم 41-5,120.00,18.0%
SKU-041-06,صنف تجريبي رقم 41-6,120.00,18.0%
SKU-041-07,صنف تجريبي رقم 41-7,120.00,18.0%
SKU-041-08,صنف تجريبي رقم 41-8,120.00,18.0%
SKU-041-09,صنف تجريبي رقم 41-9,120.00,18.0%
SKU-041-10,صنف تجريبي رقم 41-10,120.00,18.0%
SKU-041-11,صنف تجريبي رقم 41-11,120.00,18.0%
SKU-041-12,صنف تجريبي رقم 41-12,120.00,18.0%
SKU-041-13,صنف تجريبي رقم 41-13,120.00,18.0%
SKU-041-14,صنف تجريبي رقم 41-14,120.00,18.0%
SKU-041-15,صنف تجريبي رقم 41-15,120.00,18.0%
