كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-22-1,دواء بنادول اكسترا تشغيلة 22-1,51.50,15.5%
SKU-22-2,دواء بنادول اكسترا تشغيلة 22-2,52.50,15.5%
SKU-22-3,دواء بنادول اكسترا تشغيلة 22-3,53.50,15.5%
SKU-22-4,دواء بنادول اكسترا تشغيلة 22-4,54.50,15.5%
SKU-22-5,دواء بنادول اكسترا تشغيلة 22-5,55.50,15.5%
SKU-22-6,دواء بنادول اكسترا تشغيلة 22-6,56.50,15.5%
SKU-22-7,دواء بنادول اكسترا تشغيلة 22-7,57.50,15.5%
SKU-22-8,دواء بنادول اكسترا تشغيلة 22-8,58.50,15.5%
SKU-22-9,دواء بنادول اكسترا تشغيلة 22-9,59.50,15.5%
SKU-22-10,دواء بنادول اكسترا تشغيلة 22-10,60.50,15.5%
SKU-22-11,دواء بنادول اكسترا تشغيلة 22-11,61.50,15.5%
SKU-22-12,دواء بنادول اكسترا تشغيلة 22-12,62.50,15.5%
SKU-22-13,دواء بنادول اكسترا تشغيلة 22-13,63.50,15.5%
SKU-22-14,دواء بنادول اكسترا تشغيلة 22-14,64.50,15.5%
SKU-22-15,دواء بنادول اكسترا تشغيلة 22-15,65.50,15.5%
SKU-22-16,دواء بنادول اكسترا تشغيلة 22-16,66.50,15.5%
SKU-22-17,دواء بنادول اكسترا تشغيلة 22-17,67.50,15.5%
SKU-22-18,دواء بنادول اكسترا تشغيلة 22-18,68.50,15.5%
SKU-22-19,دواء بنادول اكسترا تشغيلة 22-19,69.50,15.5%
SKU-22-20,دواء بنادول اكسترا تشغيلة 22-20,70.50,15.5%
