كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-040-01,صنف تجريبي رقم 40-1,120.00,18.0%
SKU-040-02,صنف تجريبي رقم 40-2,120.00,18.0%
SKU-040-03,صنف تجريبي رقم 40-3,120.00,18.0%
SKU-040-04,صنف تجريبي رقم 40-4,120.00,18.0%
SKU-040-05,صنف تجريبي رقم 40-5,120.00,18.0%
SKU-040-06,صنف تجريبي رقم 40-6,120.00,18.0%
SKU-040-07,صنف تجريبي رقم 40-7,120.00,18.0%
SKU-040-08,صنف تجريبي رقم 40-8,120.00,18.0%
SKU-040-09,صنف تجريبي رقم 40-9,120.00,18.0%
SKU-040-10,صنف تجريبي رقم 40-10,120.00,18.0%
SKU-040-11,صنف تجريبي رقم 40-11,120.00,18.0%
SKU-040-12,صنف تجريبي رقم 40-12,120.00,18.0%
SKU-040-13,صنف تجريبي رقم 40-13,120.00,18.0%
SKU-040-14,صنف تجريبي رقم 40-14,120.00,18.0%
SKU-040-15,صنف تجريبي رقم 40-15,120.00,18.0%
