كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-012-01,صنف تجريبي رقم 12-1,120.00,18.0%
SKU-012-02,صنف تجريبي رقم 12-2,120.00,18.0%
SKU-012-03,صنف تجريبي رقم 12-3,120.00,18.0%
SKU-012-04,صنف تجريبي رقم 12-4,120.00,18.0%
SKU-012-05,صنف تجريبي رقم 12-5,120.00,18.0%
SKU-012-06,صنف تجريبي رقم 12-6,120.00,18.0%
SKU-012-07,صنف تجريبي رقم 12-7,120.00,18.0%
SKU-012-08,صنف تجريبي رقم 12-8,120.00,18.0%
SKU-012-09,صنف تجريبي رقم 12-9,120.00,18.0%
SKU-012-10,صنف تجريبي رقم 12-10,120.00,18.0%
SKU-012-11,صنف تجريبي رقم 12-11,120.00,18.0%
SKU-012-12,صنف تجريبي رقم 12-12,120.00,18.0%
SKU-012-13,صنف تجريبي رقم 12-13,120.00,18.0%
SKU-012-14,صنف تجريبي رقم 12-14,120.00,18.0%
SKU-012-15,صنف تجريبي رقم 12-15,120.00,18.0%
