كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-087-01,صنف تجريبي رقم 87-1,120.00,18.0%
SKU-087-02,صنف تجريبي رقم 87-2,120.00,18.0%
SKU-087-03,صنف تجريبي رقم 87-3,120.00,18.0%
SKU-087-04,صنف تجريبي رقم 87-4,120.00,18.0%
SKU-087-05,صنف تجريبي رقم 87-5,120.00,18.0%
SKU-087-06,صنف تجريبي رقم 87-6,120.00,18.0%
SKU-087-07,صنف تجريبي رقم 87-7,120.00,18.0%
SKU-087-08,صنف تجريبي رقم 87-8,120.00,18.0%
SKU-087-09,صنف تجريبي رقم 87-9,120.00,18.0%
SKU-087-10,صنف تجريبي رقم 87-10,120.00,18.0%
SKU-087-11,صنف تجريبي رقم 87-11,120.00,18.0%
SKU-087-12,صنف تجريبي رقم 87-12,120.00,18.0%
SKU-087-13,صنف تجريبي رقم 87-13,120.00,18.0%
SKU-087-14,صنف تجريبي رقم 87-14,120.00,18.0%
SKU-087-15,صنف تجريبي رقم 87-15,120.00,18.0%
