كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-50-1,دواء بنادول اكسترا تشغيلة 50-1,51.50,15.5%
SKU-50-2,دواء بنادول اكسترا تشغيلة 50-2,52.50,15.5%
SKU-50-3,دواء بنادول اكسترا تشغيلة 50-3,53.50,15.5%
SKU-50-4,دواء بنادول اكسترا تشغيلة 50-4,54.50,15.5%
SKU-50-5,دواء بنادول اكسترا تشغيلة 50-5,55.50,15.5%
SKU-50-6,دواء بنادول اكسترا تشغيلة 50-6,56.50,15.5%
SKU-50-7,دواء بنادول اكسترا تشغيلة 50-7,57.50,15.5%
SKU-50-8,دواء بنادول اكسترا تشغيلة 50-8,58.50,15.5%
SKU-50-9,دواء بنادول اكسترا تشغيلة 50-9,59.50,15.5%
SKU-50-10,دواء بنادول اكسترا تشغيلة 50-10,60.50,15.5%
SKU-50-11,دواء بنادول اكسترا تشغيلة 50-11,61.50,15.5%
SKU-50-12,دواء بنادول اكسترا تشغيلة 50-12,62.50,15.5%
SKU-50-13,دواء بنادول اكسترا تشغيلة 50-13,63.50,15.5%
SKU-50-14,دواء بنادول اكسترا تشغيلة 50-14,64.50,15.5%
SKU-50-15,دواء بنادول اكسترا تشغيلة 50-15,65.50,15.5%
SKU-50-16,دواء بنادول اكسترا تشغيلة 50-16,66.50,15.5%
SKU-50-17,دواء بنادول اكسترا تشغيلة 50-17,67.50,15.5%
SKU-50-18,دواء بنادول اكسترا تشغيلة 50-18,68.50,15.5%
SKU-50-19,دواء بنادول اكسترا تشغيلة 50-19,69.50,15.5%
SKU-50-20,دواء بنادول اكسترا تشغيلة 50-20,70.50,15.5%
