كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-066-01,صنف تجريبي رقم 66-1,120.00,18.0%
SKU-066-02,صنف تجريبي رقم 66-2,120.00,18.0%
SKU-066-03,صنف تجريبي رقم 66-3,120.00,18.0%
SKU-066-04,صنف تجريبي رقم 66-4,120.00,18.0%
SKU-066-05,صنف تجريبي رقم 66-5,120.00,18.0%
SKU-066-06,صنف تجريبي رقم 66-6,120.00,18.0%
SKU-066-07,صنف تجريبي رقم 66-7,120.00,18.0%
SKU-066-08,صنف تجريبي رقم 66-8,120.00,18.0%
SKU-066-09,صنف تجريبي رقم 66-9,120.00,18.0%
SKU-066-10,صنف تجريبي رقم 66-10,120.00,18.0%
SKU-066-11,صنف تجريبي رقم 66-11,120.00,18.0%
SKU-066-12,صنف تجريبي رقم 66-12,120.00,18.0%
SKU-066-13,صنف تجريبي رقم 66-13,120.00,18.0%
SKU-066-14,صنف تجريبي رقم 66-14,120.00,18.0%
SKU-066-15,صنف تجريبي رقم 66-15,120.00,18.0%
