كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-096-01,صنف تجريبي رقم 96-1,120.00,18.0%
SKU-096-02,صنف تجريبي رقم 96-2,120.00,18.0%
SKU-096-03,صنف تجريبي رقم 96-3,120.00,18.0%
SKU-096-04,صنف تجريبي رقم 96-4,120.00,18.0%
SKU-096-05,صنف تجريبي رقم 96-5,120.00,18.0%
SKU-096-06,صنف تجريبي رقم 96-6,120.00,18.0%
SKU-096-07,صنف تجريبي رقم 96-7,120.00,18.0%
SKU-096-08,صنف تجريبي رقم 96-8,120.00,18.0%
SKU-096-09,صنف تجريبي رقم 96-9,120.00,18.0%
SKU-096-10,صنف تجريبي رقم 96-10,120.00,18.0%
SKU-096-11,صنف تجريبي رقم 96-11,120.00,18.0%
SKU-096-12,صنف تجريبي رقم 96-12,120.00,18.0%
SKU-096-13,صنف تجريبي رقم 96-13,120.00,18.0%
SKU-096-14,صنف تجريبي رقم 96-14,120.00,18.0%
SKU-096-15,صنف تجريبي رقم 96-15,120.00,18.0%
