كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-002-01,صنف تجريبي رقم 2-1,120.00,18.0%
SKU-002-02,صنف تجريبي رقم 2-2,120.00,18.0%
SKU-002-03,صنف تجريبي رقم 2-3,120.00,18.0%
SKU-002-04,صنف تجريبي رقم 2-4,120.00,18.0%
SKU-002-05,صنف تجريبي رقم 2-5,120.00,18.0%
SKU-002-06,صنف تجريبي رقم 2-6,120.00,18.0%
SKU-002-07,صنف تجريبي رقم 2-7,120.00,18.0%
SKU-002-08,صنف تجريبي رقم 2-8,120.00,18.0%
SKU-002-09,صنف تجريبي رقم 2-9,120.00,18.0%
SKU-002-10,صنف تجريبي رقم 2-10,120.00,18.0%
SKU-002-11,صنف تجريبي رقم 2-11,120.00,18.0%
SKU-002-12,صنف تجريبي رقم 2-12,120.00,18.0%
SKU-002-13,صنف تجريبي رقم 2-13,120.00,18.0%
SKU-002-14,صنف تجريبي رقم 2-14,120.00,18.0%
SKU-002-15,صنف تجريبي رقم 2-15,120.00,18.0%
