كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-042-01,صنف تجريبي رقم 42-1,120.00,18.0%
SKU-042-02,صنف تجريبي رقم 42-2,120.00,18.0%
SKU-042-03,صنف تجريبي رقم 42-3,120.00,18.0%
SKU-042-04,صنف تجريبي رقم 42-4,120.00,18.0%
SKU-042-05,صنف تجريبي رقم 42-5,120.00,18.0%
SKU-042-06,صنف تجريبي رقم 42-6,120.00,18.0%
SKU-042-07,صنف تجريبي رقم 42-7,120.00,18.0%
SKU-042-08,صنف تجريبي رقم 42-8,120.00,18.0%
SKU-042-09,صنف تجريبي رقم 42-9,120.00,18.0%
SKU-042-10,صنف تجريبي رقم 42-10,120.00,18.0%
SKU-042-11,صنف تجريبي رقم 42-11,120.00,18.0%
SKU-042-12,صنف تجريبي رقم 42-12,120.00,18.0%
SKU-042-13,صنف تجريبي رقم 42-13,120.00,18.0%
SKU-042-14,صنف تجريبي رقم 42-14,120.00,18.0%
SKU-042-15,صنف تجريبي رقم 42-15,120.00,18.0%
