كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-38-1,دواء بنادول اكسترا تشغيلة 38-1,51.50,15.5%
SKU-38-2,دواء بنادول اكسترا تشغيلة 38-2,52.50,15.5%
SKU-38-3,دواء بنادول اكسترا تشغيلة 38-3,53.50,15.5%
SKU-38-4,دواء بنادول اكسترا تشغيلة 38-4,54.50,15.5%
SKU-38-5,دواء بنادول اكسترا تشغيلة 38-5,55.50,15.5%
SKU-38-6,دواء بنادول اكسترا تشغيلة 38-6,56.50,15.5%
SKU-38-7,دواء بنادول اكسترا تشغيلة 38-7,57.50,15.5%
SKU-38-8,دواء بنادول اكسترا تشغيلة 38-8,58.50,15.5%
SKU-38-9,دواء بنادول اكسترا تشغيلة 38-9,59.50,15.5%
SKU-38-10,دواء بنادول اكسترا تشغيلة 38-10,60.50,15.5%
SKU-38-11,دواء بنادول اكسترا تشغيلة 38-11,61.50,15.5%
SKU-38-12,دواء بنادول اكسترا تشغيلة 38-12,62.50,15.5%
SKU-38-13,دواء بنادول اكسترا تشغيلة 38-13,63.50,15.5%
SKU-38-14,دواء بنادول اكسترا تشغيلة 38-14,64.50,15.5%
SKU-38-15,دواء بنادول اكسترا تشغيلة 38-15,65.50,15.5%
SKU-38-16,دواء بنادول اكسترا تشغيلة 38-16,66.50,15.5%
SKU-38-17,دواء بنادول اكسترا تشغيلة 38-17,67.50,15.5%
SKU-38-18,دواء بنادول اكسترا تشغيلة 38-18,68.50,15.5%
SKU-38-19,دواء بنادول اكسترا تشغيلة 38-19,69.50,15.5%
SKU-38-20,دواء بنادول اكسترا تشغيلة 38-20,70.50,15.5%
