كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-068-01,صنف تجريبي رقم 68-1,120.00,18.0%
SKU-068-02,صنف تجريبي رقم 68-2,120.00,18.0%
SKU-068-03,صنف تجريبي رقم 68-3,120.00,18.0%
SKU-068-04,صنف تجريبي رقم 68-4,120.00,18.0%
SKU-068-05,صنف تجريبي رقم 68-5,120.00,18.0%
SKU-068-06,صنف تجريبي رقم 68-6,120.00,18.0%
SKU-068-07,صنف تجريبي رقم 68-7,120.00,18.0%
SKU-068-08,صنف تجريبي رقم 68-8,120.00,18.0%
SKU-068-09,صنف تجريبي رقم 68-9,120.00,18.0%
SKU-068-10,صنف تجريبي رقم 68-10,120.00,18.0%
SKU-068-11,صنف تجريبي رقم 68-11,120.00,18.0%
SKU-068-12,صنف تجريبي رقم 68-12,120.00,18.0%
SKU-068-13,صنف تجريبي رقم 68-13,120.00,18.0%
SKU-068-14,صنف تجريبي رقم 68-14,120.00,18.0%
SKU-068-15,صنف تجريبي رقم 68-15,120.00,18.0%
