كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-40-1,دواء بنادول اكسترا تشغيلة 40-1,51.50,15.5%
SKU-40-2,دواء بنادول اكسترا تشغيلة 40-2,52.50,15.5%
SKU-40-3,دواء بنادول اكسترا تشغيلة 40-3,53.50,15.5%
SKU-40-4,دواء بنادول اكسترا تشغيلة 40-4,54.50,15.5%
SKU-40-5,دواء بنادول اكسترا تشغيلة 40-5,55.50,15.5%
SKU-40-6,دواء بنادول اكسترا تشغيلة 40-6,56.50,15.5%
SKU-40-7,دواء بنادول اكسترا تشغيلة 40-7,57.50,15.5%
SKU-40-8,دواء بنادول اكسترا تشغيلة 40-8,58.50,15.5%
SKU-40-9,دواء بنادول اكسترا تشغيلة 40-9,59.50,15.5%
SKU-40-10,دواء بنادول اكسترا تشغيلة 40-10,60.50,15.5%
SKU-40-11,دواء بنادول اكسترا تشغيلة 40-11,61.50,15.5%
SKU-40-12,دواء بنادول اكسترا تشغيلة 40-12,62.50,15.5%
SKU-40-13,دواء بنادول اكسترا تشغيلة 40-13,63.50,15.5%
SKU-40-14,دواء بنادول اكسترا تشغيلة 40-14,64.50,15.5%
SKU-40-15,دواء بنادول اكسترا تشغيلة 40-15,65.50,15.5%
SKU-40-16,دواء بنادول اكسترا تشغيلة 40-16,66.50,15.5%
SKU-40-17,دواء بنادول اكسترا تشغيلة 40-17,67.50,15.5%
SKU-40-18,دواء بنادول اكسترا تشغيلة 40-18,68.50,15.5%
SKU-40-19,دواء بنادول اكسترا تشغيلة 40-19,69.50,15.5%
SKU-40-20,دواء بنادول اكسترا تشغيلة 40-20,70.50,15.5%
