كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-18-1,دواء بنادول اكسترا تشغيلة 18-1,51.50,15.5%
SKU-18-2,دواء بنادول اكسترا تشغيلة 18-2,52.50,15.5%
SKU-18-3,دواء بنادول اكسترا تشغيلة 18-3,53.50,15.5%
SKU-18-4,دواء بنادول اكسترا تشغيلة 18-4,54.50,15.5%
SKU-18-5,دواء بنادول اكسترا تشغيلة 18-5,55.50,15.5%
SKU-18-6,دواء بنادول اكسترا تشغيلة 18-6,56.50,15.5%
SKU-18-7,دواء بنادول اكسترا تشغيلة 18-7,57.50,15.5%
SKU-18-8,دواء بنادول اكسترا تشغيلة 18-8,58.50,15.5%
SKU-18-9,دواء بنادول اكسترا تشغيلة 18-9,59.50,15.5%
SKU-18-10,دواء بنادول اكسترا تشغيلة 18-10,60.50,15.5%
SKU-18-11,دواء بنادول اكسترا تشغيلة 18-11,61.50,15.5%
SKU-18-12,دواء بنادول اكسترا تشغيلة 18-12,62.50,15.5%
SKU-18-13,دواء بنادول اكسترا تشغيلة 18-13,63.50,15.5%
SKU-18-14,دواء بنادول اكسترا تشغيلة 18-14,64.50,15.5%
SKU-18-15,دواء بنادول اكسترا تشغيلة 18-15,65.50,15.5%
SKU-18-16,دواء بنادول اكسترا تشغيلة 18-16,66.50,15.5%
SKU-18-17,دواء بنادول اكسترا تشغيلة 18-17,67.50,15.5%
SKU-18-18,دواء بنادول اكسترا تشغيلة 18-18,68.50,15.5%
SKU-18-19,دواء بنادول اكسترا تشغيلة 18-19,69.50,15.5%
SKU-18-20,دواء بنادول اكسترا تشغيلة 18-20,70.50,15.5%
