كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-036-01,صنف تجريبي رقم 36-1,120.00,18.0%
SKU-036-02,صنف تجريبي رقم 36-2,120.00,18.0%
SKU-036-03,صنف تجريبي رقم 36-3,120.00,18.0%
SKU-036-04,صنف تجريبي رقم 36-4,120.00,18.0%
SKU-036-05,صنف تجريبي رقم 36-5,120.00,18.0%
SKU-036-06,صنف تجريبي رقم 36-6,120.00,18.0%
SKU-036-07,صنف تجريبي رقم 36-7,120.00,18.0%
SKU-036-08,صنف تجريبي رقم 36-8,120.00,18.0%
SKU-036-09,صنف تجريبي رقم 36-9,120.00,18.0%
SKU-036-10,صنف تجريبي رقم 36-10,120.00,18.0%
SKU-036-11,صنف تجريبي رقم 36-11,120.00,18.0%
SKU-036-12,صنف تجريبي رقم 36-12,120.00,18.0%
SKU-036-13,صنف تجريبي رقم 36-13,120.00,18.0%
SKU-036-14,صنف تجريبي رقم 36-14,120.00,18.0%
SKU-036-15,صنف تجريبي رقم 36-15,120.00,18.0%
