كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-21-1,دواء بنادول اكسترا تشغيلة 21-1,51.50,15.5%
SKU-21-2,دواء بنادول اكسترا تشغيلة 21-2,52.50,15.5%
SKU-21-3,دواء بنادول اكسترا تشغيلة 21-3,53.50,15.5%
SKU-21-4,دواء بنادول اكسترا تشغيلة 21-4,54.50,15.5%
SKU-21-5,دواء بنادول اكسترا تشغيلة 21-5,55.50,15.5%
SKU-21-6,دواء بنادول اكسترا تشغيلة 21-6,56.50,15.5%
SKU-21-7,دواء بنادول اكسترا تشغيلة 21-7,57.50,15.5%
SKU-21-8,دواء بنادول اكسترا تشغيلة 21-8,58.50,15.5%
SKU-21-9,دواء بنادول اكسترا تشغيلة 21-9,59.50,15.5%
SKU-21-10,دواء بنادول اكسترا تشغيلة 21-10,60.50,15.5%
SKU-21-11,دواء بنادول اكسترا تشغيلة 21-11,61.50,15.5%
SKU-21-12,دواء بنادول اكسترا تشغيلة 21-12,62.50,15.5%
SKU-21-13,دواء بنادول اكسترا تشغيلة 21-13,63.50,15.5%
SKU-21-14,دواء بنادول اكسترا تشغيلة 21-14,64.50,15.5%
SKU-21-15,دواء بنادول اكسترا تشغيلة 21-15,65.50,15.5%
SKU-21-16,دواء بنادول اكسترا تشغيلة 21-16,66.50,15.5%
SKU-21-17,دواء بنادول اكسترا تشغيلة 21-17,67.50,15.5%
SKU-21-18,دواء بنادول اكسترا تشغيلة 21-18,68.50,15.5%
SKU-21-19,دواء بنادول اكسترا تشغيلة 21-19,69.50,15.5%
SKU-21-20,دواء بنادول اكسترا تشغيلة 21-20,70.50,15.5%
