كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-35-1,دواء بنادول اكسترا تشغيلة 35-1,51.50,15.5%
SKU-35-2,دواء بنادول اكسترا تشغيلة 35-2,52.50,15.5%
SKU-35-3,دواء بنادول اكسترا تشغيلة 35-3,53.50,15.5%
SKU-35-4,دواء بنادول اكسترا تشغيلة 35-4,54.50,15.5%
SKU-35-5,دواء بنادول اكسترا تشغيلة 35-5,55.50,15.5%
SKU-35-6,دواء بنادول اكسترا تشغيلة 35-6,56.50,15.5%
SKU-35-7,دواء بنادول اكسترا تشغيلة 35-7,57.50,15.5%
SKU-35-8,دواء بنادول اكسترا تشغيلة 35-8,58.50,15.5%
SKU-35-9,دواء بنادول اكسترا تشغيلة 35-9,59.50,15.5%
SKU-35-10,دواء بنادول اكسترا تشغيلة 35-10,60.50,15.5%
SKU-35-11,دواء بنادول اكسترا تشغيلة 35-11,61.50,15.5%
SKU-35-12,دواء بنادول اكسترا تشغيلة 35-12,62.50,15.5%
SKU-35-13,دواء بنادول اكسترا تشغيلة 35-13,63.50,15.5%
SKU-35-14,دواء بنادول اكسترا تشغيلة 35-14,64.50,15.5%
SKU-35-15,دواء بنادول اكسترا تشغيلة 35-15,65.50,15.5%
SKU-35-16,دواء بنادول اكسترا تشغيلة 35-16,66.50,15.5%
SKU-35-17,دواء بنادول اكسترا تشغيلة 35-17,67.50,15.5%
SKU-35-18,دواء بنادول اكسترا تشغيلة 35-18,68.50,15.5%
SKU-35-19,دواء بنادول اكسترا تشغيلة 35-19,69.50,15.5%
SKU-35-20,دواء بنادول اكسترا تشغيلة 35-20,70.50,15.5%
