كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-16-1,دواء بنادول اكسترا تشغيلة 16-1,51.50,15.5%
SKU-16-2,دواء بنادول اكسترا تشغيلة 16-2,52.50,15.5%
SKU-16-3,دواء بنادول اكسترا تشغيلة 16-3,53.50,15.5%
SKU-16-4,دواء بنادول اكسترا تشغيلة 16-4,54.50,15.5%
SKU-16-5,دواء بنادول اكسترا تشغيلة 16-5,55.50,15.5%
SKU-16-6,دواء بنادول اكسترا تشغيلة 16-6,56.50,15.5%
SKU-16-7,دواء بنادول اكسترا تشغيلة 16-7,57.50,15.5%
SKU-16-8,دواء بنادول اكسترا تشغيلة 16-8,58.50,15.5%
SKU-16-9,دواء بنادول اكسترا تشغيلة 16-9,59.50,15.5%
SKU-16-10,دواء بنادول اكسترا تشغيلة 16-10,60.50,15.5%
SKU-16-11,دواء بنادول اكسترا تشغيلة 16-11,61.50,15.5%
SKU-16-12,دواء بنادول اكسترا تشغيلة 16-12,62.50,15.5%
SKU-16-13,دواء بنادول اكسترا تشغيلة 16-13,63.50,15.5%
SKU-16-14,دواء بنادول اكسترا تشغيلة 16-14,64.50,15.5%
SKU-16-15,دواء بنادول اكسترا تشغيلة 16-15,65.50,15.5%
SKU-16-16,دواء بنادول اكسترا تشغيلة 16-16,66.50,15.5%
SKU-16-17,دواء بنادول اكسترا تشغيلة 16-17,67.50,15.5%
SKU-16-18,دواء بنادول اكسترا تشغيلة 16-18,68.50,15.5%
SKU-16-19,دواء بنادول اكسترا تشغيلة 16-19,69.50,15.5%
SKU-16-20,دواء بنادول اكسترا تشغيلة 16-20,70.50,15.5%
