كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-069-01,صنف تجريبي رقم 69-1,120.00,18.0%
SKU-069-02,صنف تجريبي رقم 69-2,120.00,18.0%
SKU-069-03,صنف تجريبي رقم 69-3,120.00,18.0%
SKU-069-04,صنف تجريبي رقم 69-4,120.00,18.0%
SKU-069-05,صنف تجريبي رقم 69-5,120.00,18.0%
SKU-069-06,صنف تجريبي رقم 69-6,120.00,18.0%
SKU-069-07,صنف تجريبي رقم 69-7,120.00,18.0%
SKU-069-08,صنف تجريبي رقم 69-8,120.00,18.0%
SKU-069-09,صنف تجريبي رقم 69-9,120.00,18.0%
SKU-069-10,صنف تجريبي رقم 69-10,120.00,18.0%
SKU-069-11,صنف تجريبي رقم 69-11,120.00,18.0%
SKU-069-12,صنف تجريبي رقم 69-12,120.00,18.0%
SKU-069-13,صنف تجريبي رقم 69-13,120.00,18.0%
SKU-069-14,صنف تجريبي رقم 69-14,120.00,18.0%
SKU-069-15,صنف تجريبي رقم 69-15,120.00,18.0%
