كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-035-01,صنف تجريبي رقم 35-1,120.00,18.0%
SKU-035-02,صنف تجريبي رقم 35-2,120.00,18.0%
SKU-035-03,صنف تجريبي رقم 35-3,120.00,18.0%
SKU-035-04,صنف تجريبي رقم 35-4,120.00,18.0%
SKU-035-05,صنف تجريبي رقم 35-5,120.00,18.0%
SKU-035-06,صنف تجريبي رقم 35-6,120.00,18.0%
SKU-035-07,صنف تجريبي رقم 35-7,120.00,18.0%
SKU-035-08,صنف تجريبي رقم 35-8,120.00,18.0%
SKU-035-09,صنف تجريبي رقم 35-9,120.00,18.0%
SKU-035-10,صنف تجريبي رقم 35-10,120.00,18.0%
SKU-035-11,صنف تجريبي رقم 35-11,120.00,18.0%
SKU-035-12,صنف تجريبي رقم 35-12,120.00,18.0%
SKU-035-13,صنف تجريبي رقم 35-13,120.00,18.0%
SKU-035-14,صنف تجريبي رقم 35-14,120.00,18.0%
SKU-035-15,صنف تجريبي رقم 35-15,120.00,18.0%
