كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-076-01,صنف تجريبي رقم 76-1,120.00,18.0%
SKU-076-02,صنف تجريبي رقم 76-2,120.00,18.0%
SKU-076-03,صنف تجريبي رقم 76-3,120.00,18.0%
SKU-076-04,صنف تجريبي رقم 76-4,120.00,18.0%
SKU-076-05,صنف تجريبي رقم 76-5,120.00,18.0%
SKU-076-06,صنف تجريبي رقم 76-6,120.00,18.0%
SKU-076-07,صنف تجريبي رقم 76-7,120.00,18.0%
SKU-076-08,صنف تجريبي رقم 76-8,120.00,18.0%
SKU-076-09,صنف تجريبي رقم 76-9,120.00,18.0%
SKU-076-10,صنف تجريبي رقم 76-10,120.00,18.0%
SKU-076-11,صنف تجريبي رقم 76-11,120.00,18.0%
SKU-076-12,صنف تجريبي رقم 76-12,120.00,18.0%
SKU-076-13,صنف تجريبي رقم 76-13,120.00,18.0%
SKU-076-14,صنف تجريبي رقم 76-14,120.00,18.0%
SKU-076-15,صنف تجريبي رقم 76-15,120.00,18.0%
