كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-8-1,دواء بنادول اكسترا تشغيلة 8-1,51.50,15.5%
SKU-8-2,دواء بنادول اكسترا تشغيلة 8-2,52.50,15.5%
SKU-8-3,دواء بنادول اكسترا تشغيلة 8-3,53.50,15.5%
SKU-8-4,دواء بنادول اكسترا تشغيلة 8-4,54.50,15.5%
SKU-8-5,دواء بنادول اكسترا تشغيلة 8-5,55.50,15.5%
SKU-8-6,دواء بنادول اكسترا تشغيلة 8-6,56.50,15.5%
SKU-8-7,دواء بنادول اكسترا تشغيلة 8-7,57.50,15.5%
SKU-8-8,دواء بنادول اكسترا تشغيلة 8-8,58.50,15.5%
SKU-8-9,دواء بنادول اكسترا تشغيلة 8-9,59.50,15.5%
SKU-8-10,دواء بنادول اكسترا تشغيلة 8-10,60.50,15.5%
SKU-8-11,دواء بنادول اكسترا تشغيلة 8-11,61.50,15.5%
SKU-8-12,دواء بنادول اكسترا تشغيلة 8-12,62.50,15.5%
SKU-8-13,دواء بنادول اكسترا تشغيلة 8-13,63.50,15.5%
SKU-8-14,دواء بنادول اكسترا تشغيلة 8-14,64.50,15.5%
SKU-8-15,دواء بنادول اكسترا تشغيلة 8-15,65.50,15.5%
SKU-8-16,دواء بنادول اكسترا تشغيلة 8-16,66.50,15.5%
SKU-8-17,دواء بنادول اكسترا تشغيلة 8-17,67.50,15.5%
SKU-8-18,دواء بنادول اكسترا تشغيلة 8-18,68.50,15.5%
SKU-8-19,دواء بنادول اكسترا تشغيلة 8-19,69.50,15.5%
SKU-8-20,دواء بنادول اكسترا تشغيلة 8-20,70.50,15.5%
