كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-14-1,دواء بنادول اكسترا تشغيلة 14-1,51.50,15.5%
SKU-14-2,دواء بنادول اكسترا تشغيلة 14-2,52.50,15.5%
SKU-14-3,دواء بنادول اكسترا تشغيلة 14-3,53.50,15.5%
SKU-14-4,دواء بنادول اكسترا تشغيلة 14-4,54.50,15.5%
SKU-14-5,دواء بنادول اكسترا تشغيلة 14-5,55.50,15.5%
SKU-14-6,دواء بنادول اكسترا تشغيلة 14-6,56.50,15.5%
SKU-14-7,دواء بنادول اكسترا تشغيلة 14-7,57.50,15.5%
SKU-14-8,دواء بنادول اكسترا تشغيلة 14-8,58.50,15.5%
SKU-14-9,دواء بنادول اكسترا تشغيلة 14-9,59.50,15.5%
SKU-14-10,دواء بنادول اكسترا تشغيلة 14-10,60.50,15.5%
SKU-14-11,دواء بنادول اكسترا تشغيلة 14-11,61.50,15.5%
SKU-14-12,دواء بنادول اكسترا تشغيلة 14-12,62.50,15.5%
SKU-14-13,دواء بنادول اكسترا تشغيلة 14-13,63.50,15.5%
SKU-14-14,دواء بنادول اكسترا تشغيلة 14-14,64.50,15.5%
SKU-14-15,دواء بنادول اكسترا تشغيلة 14-15,65.50,15.5%
SKU-14-16,دواء بنادول اكسترا تشغيلة 14-16,66.50,15.5%
SKU-14-17,دواء بنادول اكسترا تشغيلة 14-17,67.50,15.5%
SKU-14-18,دواء بنادول اكسترا تشغيلة 14-18,68.50,15.5%
SKU-14-19,دواء بنادول اكسترا تشغيلة 14-19,69.50,15.5%
SKU-14-20,دواء بنادول اكسترا تشغيلة 14-20,70.50,15.5%
