كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-47-1,دواء بنادول اكسترا تشغيلة 47-1,51.50,15.5%
SKU-47-2,دواء بنادول اكسترا تشغيلة 47-2,52.50,15.5%
SKU-47-3,دواء بنادول اكسترا تشغيلة 47-3,53.50,15.5%
SKU-47-4,دواء بنادول اكسترا تشغيلة 47-4,54.50,15.5%
SKU-47-5,دواء بنادول اكسترا تشغيلة 47-5,55.50,15.5%
SKU-47-6,دواء بنادول اكسترا تشغيلة 47-6,56.50,15.5%
SKU-47-7,دواء بنادول اكسترا تشغيلة 47-7,57.50,15.5%
SKU-47-8,دواء بنادول اكسترا تشغيلة 47-8,58.50,15.5%
SKU-47-9,دواء بنادول اكسترا تشغيلة 47-9,59.50,15.5%
SKU-47-10,دواء بنادول اكسترا تشغيلة 47-10,60.50,15.5%
SKU-47-11,دواء بنادول اكسترا تشغيلة 47-11,61.50,15.5%
SKU-47-12,دواء بنادول اكسترا تشغيلة 47-12,62.50,15.5%
SKU-47-13,دواء بنادول اكسترا تشغيلة 47-13,63.50,15.5%
SKU-47-14,دواء بنادول اكسترا تشغيلة 47-14,64.50,15.5%
SKU-47-15,دواء بنادول اكسترا تشغيلة 47-15,65.50,15.5%
SKU-47-16,دواء بنادول اكسترا تشغيلة 47-16,66.50,15.5%
SKU-47-17,دواء بنادول اكسترا تشغيلة 47-17,67.50,15.5%
SKU-47-18,دواء بنادول اكسترا تشغيلة 47-18,68.50,15.5%
SKU-47-19,دواء بنادول اكسترا تشغيلة 47-19,69.50,15.5%
SKU-47-20,دواء بنادول اكسترا تشغيلة 47-20,70.50,15.5%
