كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-52-1,دواء بنادول اكسترا تشغيلة 52-1,51.50,15.5%
SKU-52-2,دواء بنادول اكسترا تشغيلة 52-2,52.50,15.5%
SKU-52-3,دواء بنادول اكسترا تشغيلة 52-3,53.50,15.5%
SKU-52-4,دواء بنادول اكسترا تشغيلة 52-4,54.50,15.5%
SKU-52-5,دواء بنادول اكسترا تشغيلة 52-5,55.50,15.5%
SKU-52-6,دواء بنادول اكسترا تشغيلة 52-6,56.50,15.5%
SKU-52-7,دواء بنادول اكسترا تشغيلة 52-7,57.50,15.5%
SKU-52-8,دواء بنادول اكسترا تشغيلة 52-8,58.50,15.5%
SKU-52-9,دواء بنادول اكسترا تشغيلة 52-9,59.50,15.5%
SKU-52-10,دواء بنادول اكسترا تشغيلة 52-10,60.50,15.5%
SKU-52-11,دواء بنادول اكسترا تشغيلة 52-11,61.50,15.5%
SKU-52-12,دواء بنادول اكسترا تشغيلة 52-12,62.50,15.5%
SKU-52-13,دواء بنادول اكسترا تشغيلة 52-13,63.50,15.5%
SKU-52-14,دواء بنادول اكسترا تشغيلة 52-14,64.50,15.5%
SKU-52-15,دواء بنادول اكسترا تشغيلة 52-15,65.50,15.5%
SKU-52-16,دواء بنادول اكسترا تشغيلة 52-16,66.50,15.5%
SKU-52-17,دواء بنادول اكسترا تشغيلة 52-17,67.50,15.5%
SKU-52-18,دواء بنادول اكسترا تشغيلة 52-18,68.50,15.5%
SKU-52-19,دواء بنادول اكسترا تشغيلة 52-19,69.50,15.5%
SKU-52-20,دواء بنادول اكسترا تشغيلة 52-20,70.50,15.5%
