كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-017-01,صنف تجريبي رقم 17-1,120.00,18.0%
SKU-017-02,صنف تجريبي رقم 17-2,120.00,18.0%
SKU-017-03,صنف تجريبي رقم 17-3,120.00,18.0%
SKU-017-04,صنف تجريبي رقم 17-4,120.00,18.0%
SKU-017-05,صنف تجريبي رقم 17-5,120.00,18.0%
SKU-017-06,صنف تجريبي رقم 17-6,120.00,18.0%
SKU-017-07,صنف تجريبي رقم 17-7,120.00,18.0%
SKU-017-08,صنف تجريبي رقم 17-8,120.00,18.0%
SKU-017-09,صنف تجريبي رقم 17-9,120.00,18.0%
SKU-017-10,صنف تجريبي رقم 17-10,120.00,18.0%
SKU-017-11,صنف تجريبي رقم 17-11,120.00,18.0%
SKU-017-12,صنف تجريبي رقم 17-12,120.00,18.0%
SKU-017-13,صنف تجريبي رقم 17-13,120.00,18.0%
SKU-017-14,صنف تجريبي رقم 17-14,120.00,18.0%
SKU-017-15,صنف تجريبي رقم 17-15,120.00,18.0%
