كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-48-1,دواء بنادول اكسترا تشغيلة 48-1,51.50,15.5%
SKU-48-2,دواء بنادول اكسترا تشغيلة 48-2,52.50,15.5%
SKU-48-3,دواء بنادول اكسترا تشغيلة 48-3,53.50,15.5%
SKU-48-4,دواء بنادول اكسترا تشغيلة 48-4,54.50,15.5%
SKU-48-5,دواء بنادول اكسترا تشغيلة 48-5,55.50,15.5%
SKU-48-6,دواء بنادول اكسترا تشغيلة 48-6,56.50,15.5%
SKU-48-7,دواء بنادول اكسترا تشغيلة 48-7,57.50,15.5%
SKU-48-8,دواء بنادول اكسترا تشغيلة 48-8,58.50,15.5%
SKU-48-9,دواء بنادول اكسترا تشغيلة 48-9,59.50,15.5%
SKU-48-10,دواء بنادول اكسترا تشغيلة 48-10,60.50,15.5%
SKU-48-11,دواء بنادول اكسترا تشغيلة 48-11,61.50,15.5%
SKU-48-12,دواء بنادول اكسترا تشغيلة 48-12,62.50,15.5%
SKU-48-13,دواء بنادول اكسترا تشغيلة 48-13,63.50,15.5%
SKU-48-14,دواء بنادول اكسترا تشغيلة 48-14,64.50,15.5%
SKU-48-15,دواء بنادول اكسترا تشغيلة 48-15,65.50,15.5%
SKU-48-16,دواء بنادول اكسترا تشغيلة 48-16,66.50,15.5%
SKU-48-17,دواء بنادول اكسترا تشغيلة 48-17,67.50,15.5%
SKU-48-18,دواء بنادول اكسترا تشغيلة 48-18,68.50,15.5%
SKU-48-19,دواء بنادول اكسترا تشغيلة 48-19,69.50,15.5%
SKU-48-20,دواء بنادول اكسترا تشغيلة 48-20,70.50,15.5%
