كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-081-01,صنف تجريبي رقم 81-1,120.00,18.0%
SKU-081-02,صنف تجريبي رقم 81-2,120.00,18.0%
SKU-081-03,صنف تجريبي رقم 81-3,120.00,18.0%
SKU-081-04,صنف تجريبي رقم 81-4,120.00,18.0%
SKU-081-05,صنف تجريبي رقم 81-5,120.00,18.0%
SKU-081-06,صنف تجريبي رقم 81-6,120.00,18.0%
SKU-081-07,صنف تجريبي رقم 81-7,120.00,18.0%
SKU-081-08,صنف تجريبي رقم 81-8,120.00,18.0%
SKU-081-09,صنف تجريبي رقم 81-9,120.00,18.0%
SKU-081-10,صنف تجريبي رقم 81-10,120.00,18.0%
SKU-081-11,صنف تجريبي رقم 81-11,120.00,18.0%
SKU-081-12,صنف تجريبي رقم 81-12,120.00,18.0%
SKU-081-13,صنف تجريبي رقم 81-13,120.00,18.0%
SKU-081-14,صنف تجريبي رقم 81-14,120.00,18.0%
SKU-081-15,صنف تجريبي رقم 81-15,120.00,18.0%
