كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-074-01,صنف تجريبي رقم 74-1,120.00,18.0%
SKU-074-02,صنف تجريبي رقم 74-2,120.00,18.0%
SKU-074-03,صنف تجريبي رقم 74-3,120.00,18.0%
SKU-074-04,صنف تجريبي رقم 74-4,120.00,18.0%
SKU-074-05,صنف تجريبي رقم 74-5,120.00,18.0%
SKU-074-06,صنف تجريبي رقم 74-6,120.00,18.0%
SKU-074-07,صنف تجريبي رقم 74-7,120.00,18.0%
SKU-074-08,صنف تجريبي رقم 74-8,120.00,18.0%
SKU-074-09,صنف تجريبي رقم 74-9,120.00,18.0%
SKU-074-10,صنف تجريبي رقم 74-10,120.00,18.0%
SKU-074-11,صنف تجريبي رقم 74-11,120.00,18.0%
SKU-074-12,صنف تجريبي رقم 74-12,120.00,18.0%
SKU-074-13,صنف تجريبي رقم 74-13,120.00,18.0%
SKU-074-14,صنف تجريبي رقم 74-14,120.00,18.0%
SKU-074-15,صنف تجريبي رقم 74-15,120.00,18.0%
