كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-12-1,دواء بنادول اكسترا تشغيلة 12-1,51.50,15.5%
SKU-12-2,دواء بنادول اكسترا تشغيلة 12-2,52.50,15.5%
SKU-12-3,دواء بنادول اكسترا تشغيلة 12-3,53.50,15.5%
SKU-12-4,دواء بنادول اكسترا تشغيلة 12-4,54.50,15.5%
SKU-12-5,دواء بنادول اكسترا تشغيلة 12-5,55.50,15.5%
SKU-12-6,دواء بنادول اكسترا تشغيلة 12-6,56.50,15.5%
SKU-12-7,دواء بنادول اكسترا تشغيلة 12-7,57.50,15.5%
SKU-12-8,دواء بنادول اكسترا تشغيلة 12-8,58.50,15.5%
SKU-12-9,دواء بنادول اكسترا تشغيلة 12-9,59.50,15.5%
SKU-12-10,دواء بنادول اكسترا تشغيلة 12-10,60.50,15.5%
SKU-12-11,دواء بنادول اكسترا تشغيلة 12-11,61.50,15.5%
SKU-12-12,دواء بنادول اكسترا تشغيلة 12-12,62.50,15.5%
SKU-12-13,دواء بنادول اكسترا تشغيلة 12-13,63.50,15.5%
SKU-12-14,دواء بنادول اكسترا تشغيلة 12-14,64.50,15.5%
SKU-12-15,دواء بنادول اكسترا تشغيلة 12-15,65.50,15.5%
SKU-12-16,دواء بنادول اكسترا تشغيلة 12-16,66.50,15.5%
SKU-12-17,دواء بنادول اكسترا تشغيلة 12-17,67.50,15.5%
SKU-12-18,دواء بنادول اكسترا تشغيلة 12-18,68.50,15.5%
SKU-12-19,دواء بنادول اكسترا تشغيلة 12-19,69.50,15.5%
SKU-12-20,دواء بنادول اكسترا تشغيلة 12-20,70.50,15.5%
