كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-4-1,دواء بنادول اكسترا تشغيلة 4-1,51.50,15.5%
SKU-4-2,دواء بنادول اكسترا تشغيلة 4-2,52.50,15.5%
SKU-4-3,دواء بنادول اكسترا تشغيلة 4-3,53.50,15.5%
SKU-4-4,دواء بنادول اكسترا تشغيلة 4-4,54.50,15.5%
SKU-4-5,دواء بنادول اكسترا تشغيلة 4-5,55.50,15.5%
SKU-4-6,دواء بنادول اكسترا تشغيلة 4-6,56.50,15.5%
SKU-4-7,دواء بنادول اكسترا تشغيلة 4-7,57.50,15.5%
SKU-4-8,دواء بنادول اكسترا تشغيلة 4-8,58.50,15.5%
SKU-4-9,دواء بنادول اكسترا تشغيلة 4-9,59.50,15.5%
SKU-4-10,دواء بنادول اكسترا تشغيلة 4-10,60.50,15.5%
SKU-4-11,دواء بنادول اكسترا تشغيلة 4-11,61.50,15.5%
SKU-4-12,دواء بنادول اكسترا تشغيلة 4-12,62.50,15.5%
SKU-4-13,دواء بنادول اكسترا تشغيلة 4-13,63.50,15.5%
SKU-4-14,دواء بنادول اكسترا تشغيلة 4-14,64.50,15.5%
SKU-4-15,دواء بنادول اكسترا تشغيلة 4-15,65.50,15.5%
SKU-4-16,دواء بنادول اكسترا تشغيلة 4-16,66.50,15.5%
SKU-4-17,دواء بنادول اكسترا تشغيلة 4-17,67.50,15.5%
SKU-4-18,دواء بنادول اكسترا تشغيلة 4-18,68.50,15.5%
SKU-4-19,دواء بنادول اكسترا تشغيلة 4-19,69.50,15.5%
SKU-4-20,دواء بنادول اكسترا تشغيلة 4-20,70.50,15.5%
