كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-15-1,دواء بنادول اكسترا تشغيلة 15-1,51.50,15.5%
SKU-15-2,دواء بنادول اكسترا تشغيلة 15-2,52.50,15.5%
SKU-15-3,دواء بنادول اكسترا تشغيلة 15-3,53.50,15.5%
SKU-15-4,دواء بنادول اكسترا تشغيلة 15-4,54.50,15.5%
SKU-15-5,دواء بنادول اكسترا تشغيلة 15-5,55.50,15.5%
SKU-15-6,دواء بنادول اكسترا تشغيلة 15-6,56.50,15.5%
SKU-15-7,دواء بنادول اكسترا تشغيلة 15-7,57.50,15.5%
SKU-15-8,دواء بنادول اكسترا تشغيلة 15-8,58.50,15.5%
SKU-15-9,دواء بنادول اكسترا تشغيلة 15-9,59.50,15.5%
SKU-15-10,دواء بنادول اكسترا تشغيلة 15-10,60.50,15.5%
SKU-15-11,دواء بنادول اكسترا تشغيلة 15-11,61.50,15.5%
SKU-15-12,دواء بنادول اكسترا تشغيلة 15-12,62.50,15.5%
SKU-15-13,دواء بنادول اكسترا تشغيلة 15-13,63.50,15.5%
SKU-15-14,دواء بنادول اكسترا تشغيلة 15-14,64.50,15.5%
SKU-15-15,دواء بنادول اكسترا تشغيلة 15-15,65.50,15.5%
SKU-15-16,دواء بنادول اكسترا تشغيلة 15-16,66.50,15.5%
SKU-15-17,دواء بنادول اكسترا تشغيلة 15-17,67.50,15.5%
SKU-15-18,دواء بنادول اكسترا تشغيلة 15-18,68.50,15.5%
SKU-15-19,دواء بنادول اكسترا تشغيلة 15-19,69.50,15.5%
SKU-15-20,دواء بنادول اكسترا تشغيلة 15-20,70.50,15.5%
