كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-023-01,صنف تجريبي رقم 23-1,120.00,18.0%
SKU-023-02,صنف تجريبي رقم 23-2,120.00,18.0%
SKU-023-03,صنف تجريبي رقم 23-3,120.00,18.0%
SKU-023-04,صنف تجريبي رقم 23-4,120.00,18.0%
SKU-023-05,صنف تجريبي رقم 23-5,120.00,18.0%
SKU-023-06,صنف تجريبي رقم 23-6,120.00,18.0%
SKU-023-07,صنف تجريبي رقم 23-7,120.00,18.0%
SKU-023-08,صنف تجريبي رقم 23-8,120.00,18.0%
SKU-023-09,صنف تجريبي رقم 23-9,120.00,18.0%
SKU-023-10,صنف تجريبي رقم 23-10,120.00,18.0%
SKU-023-11,صنف تجريبي رقم 23-11,120.00,18.0%
SKU-023-12,صنف تجريبي رقم 23-12,120.00,18.0%
SKU-023-13,صنف تجريبي رقم 23-13,120.00,18.0%
SKU-023-14,صنف تجريبي رقم 23-14,120.00,18.0%
SKU-023-15,صنف تجريبي رقم 23-15,120.00,18.0%
