كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-63-1,دواء بنادول اكسترا تشغيلة 63-1,51.50,15.5%
SKU-63-2,دواء بنادول اكسترا تشغيلة 63-2,52.50,15.5%
SKU-63-3,دواء بنادول اكسترا تشغيلة 63-3,53.50,15.5%
SKU-63-4,دواء بنادول اكسترا تشغيلة 63-4,54.50,15.5%
SKU-63-5,دواء بنادول اكسترا تشغيلة 63-5,55.50,15.5%
SKU-63-6,دواء بنادول اكسترا تشغيلة 63-6,56.50,15.5%
SKU-63-7,دواء بنادول اكسترا تشغيلة 63-7,57.50,15.5%
SKU-63-8,دواء بنادول اكسترا تشغيلة 63-8,58.50,15.5%
SKU-63-9,دواء بنادول اكسترا تشغيلة 63-9,59.50,15.5%
SKU-63-10,دواء بنادول اكسترا تشغيلة 63-10,60.50,15.5%
SKU-63-11,دواء بنادول اكسترا تشغيلة 63-11,61.50,15.5%
SKU-63-12,دواء بنادول اكسترا تشغيلة 63-12,62.50,15.5%
SKU-63-13,دواء بنادول اكسترا تشغيلة 63-13,63.50,15.5%
SKU-63-14,دواء بنادول اكسترا تشغيلة 63-14,64.50,15.5%
SKU-63-15,دواء بنادول اكسترا تشغيلة 63-15,65.50,15.5%
SKU-63-16,دواء بنادول اكسترا تشغيلة 63-16,66.50,15.5%
SKU-63-17,دواء بنادول اكسترا تشغيلة 63-17,67.50,15.5%
SKU-63-18,دواء بنادول اكسترا تشغيلة 63-18,68.50,15.5%
SKU-63-19,دواء بنادول اكسترا تشغيلة 63-19,69.50,15.5%
SKU-63-20,دواء بنادول اكسترا تشغيلة 63-20,70.50,15.5%
