كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-072-01,صنف تجريبي رقم 72-1,120.00,18.0%
SKU-072-02,صنف تجريبي رقم 72-2,120.00,18.0%
SKU-072-03,صنف تجريبي رقم 72-3,120.00,18.0%
SKU-072-04,صنف تجريبي رقم 72-4,120.00,18.0%
SKU-072-05,صنف تجريبي رقم 72-5,120.00,18.0%
SKU-072-06,صنف تجريبي رقم 72-6,120.00,18.0%
SKU-072-07,صنف تجريبي رقم 72-7,120.00,18.0%
SKU-072-08,صنف تجريبي رقم 72-8,120.00,18.0%
SKU-072-09,صنف تجريبي رقم 72-9,120.00,18.0%
SKU-072-10,صنف تجريبي رقم 72-10,120.00,18.0%
SKU-072-11,صنف تجريبي رقم 72-11,120.00,18.0%
SKU-072-12,صنف تجريبي رقم 72-12,120.00,18.0%
SKU-072-13,صنف تجريبي رقم 72-13,120.00,18.0%
SKU-072-14,صنف تجريبي رقم 72-14,120.00,18.0%
SKU-072-15,صنف تجريبي رقم 72-15,120.00,18.0%
