كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-095-01,صنف تجريبي رقم 95-1,120.00,18.0%
SKU-095-02,صنف تجريبي رقم 95-2,120.00,18.0%
SKU-095-03,صنف تجريبي رقم 95-3,120.00,18.0%
SKU-095-04,صنف تجريبي رقم 95-4,120.00,18.0%
SKU-095-05,صنف تجريبي رقم 95-5,120.00,18.0%
SKU-095-06,صنف تجريبي رقم 95-6,120.00,18.0%
SKU-095-07,صنف تجريبي رقم 95-7,120.00,18.0%
SKU-095-08,صنف تجريبي رقم 95-8,120.00,18.0%
SKU-095-09,صنف تجريبي رقم 95-9,120.00,18.0%
SKU-095-10,صنف تجريبي رقم 95-10,120.00,18.0%
SKU-095-11,صنف تجريبي رقم 95-11,120.00,18.0%
SKU-095-12,صنف تجريبي رقم 95-12,120.00,18.0%
SKU-095-13,صنف تجريبي رقم 95-13,120.00,18.0%
SKU-095-14,صنف تجريبي رقم 95-14,120.00,18.0%
SKU-095-15,صنف تجريبي رقم 95-15,120.00,18.0%
