كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-031-01,صنف تجريبي رقم 31-1,120.00,18.0%
SKU-031-02,صنف تجريبي رقم 31-2,120.00,18.0%
SKU-031-03,صنف تجريبي رقم 31-3,120.00,18.0%
SKU-031-04,صنف تجريبي رقم 31-4,120.00,18.0%
SKU-031-05,صنف تجريبي رقم 31-5,120.00,18.0%
SKU-031-06,صنف تجريبي رقم 31-6,120.00,18.0%
SKU-031-07,صنف تجريبي رقم 31-7,120.00,18.0%
SKU-031-08,صنف تجريبي رقم 31-8,120.00,18.0%
SKU-031-09,صنف تجريبي رقم 31-9,120.00,18.0%
SKU-031-10,صنف تجريبي رقم 31-10,120.00,18.0%
SKU-031-11,صنف تجريبي رقم 31-11,120.00,18.0%
SKU-031-12,صنف تجريبي رقم 31-12,120.00,18.0%
SKU-031-13,صنف تجريبي رقم 31-13,120.00,18.0%
SKU-031-14,صنف تجريبي رقم 31-14,120.00,18.0%
SKU-031-15,صنف تجريبي رقم 31-15,120.00,18.0%
