كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-073-01,صنف تجريبي رقم 73-1,120.00,18.0%
SKU-073-02,صنف تجريبي رقم 73-2,120.00,18.0%
SKU-073-03,صنف تجريبي رقم 73-3,120.00,18.0%
SKU-073-04,صنف تجريبي رقم 73-4,120.00,18.0%
SKU-073-05,صنف تجريبي رقم 73-5,120.00,18.0%
SKU-073-06,صنف تجريبي رقم 73-6,120.00,18.0%
SKU-073-07,صنف تجريبي رقم 73-7,120.00,18.0%
SKU-073-08,صنف تجريبي رقم 73-8,120.00,18.0%
SKU-073-09,صنف تجريبي رقم 73-9,120.00,18.0%
SKU-073-10,صنف تجريبي رقم 73-10,120.00,18.0%
SKU-073-11,صنف تجريبي رقم 73-11,120.00,18.0%
SKU-073-12,صنف تجريبي رقم 73-12,120.00,18.0%
SKU-073-13,صنف تجريبي رقم 73-13,120.00,18.0%
SKU-073-14,صنف تجريبي رقم 73-14,120.00,18.0%
SKU-073-15,صنف تجريبي رقم 73-15,120.00,18.0%
