كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-024-01,صنف تجريبي رقم 24-1,120.00,18.0%
SKU-024-02,صنف تجريبي رقم 24-2,120.00,18.0%
SKU-024-03,صنف تجريبي رقم 24-3,120.00,18.0%
SKU-024-04,صنف تجريبي رقم 24-4,120.00,18.0%
SKU-024-05,صنف تجريبي رقم 24-5,120.00,18.0%
SKU-024-06,صنف تجريبي رقم 24-6,120.00,18.0%
SKU-024-07,صنف تجريبي رقم 24-7,120.00,18.0%
SKU-024-08,صنف تجريبي رقم 24-8,120.00,18.0%
SKU-024-09,صنف تجريبي رقم 24-9,120.00,18.0%
SKU-024-10,صنف تجريبي رقم 24-10,120.00,18.0%
SKU-024-11,صنف تجريبي رقم 24-11,120.00,18.0%
SKU-024-12,صنف تجريبي رقم 24-12,120.00,18.0%
SKU-024-13,صنف تجريبي رقم 24-13,120.00,18.0%
SKU-024-14,صنف تجريبي رقم 24-14,120.00,18.0%
SKU-024-15,صنف تجريبي رقم 24-15,120.00,18.0%
