كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-062-01,صنف تجريبي رقم 62-1,120.00,18.0%
SKU-062-02,صنف تجريبي رقم 62-2,120.00,18.0%
SKU-062-03,صنف تجريبي رقم 62-3,120.00,18.0%
SKU-062-04,صنف تجريبي رقم 62-4,120.00,18.0%
SKU-062-05,صنف تجريبي رقم 62-5,120.00,18.0%
SKU-062-06,صنف تجريبي رقم 62-6,120.00,18.0%
SKU-062-07,صنف تجريبي رقم 62-7,120.00,18.0%
SKU-062-08,صنف تجريبي رقم 62-8,120.00,18.0%
SKU-062-09,صنف تجريبي رقم 62-9,120.00,18.0%
SKU-062-10,صنف تجريبي رقم 62-10,120.00,18.0%
SKU-062-11,صنف تجريبي رقم 62-11,120.00,18.0%
SKU-062-12,صنف تجريبي رقم 62-12,120.00,18.0%
SKU-062-13,صنف تجريبي رقم 62-13,120.00,18.0%
SKU-062-14,صنف تجريبي رقم 62-14,120.00,18.0%
SKU-062-15,صنف تجريبي رقم 62-15,120.00,18.0%
