كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-010-01,صنف تجريبي رقم 10-1,120.00,18.0%
SKU-010-02,صنف تجريبي رقم 10-2,120.00,18.0%
SKU-010-03,صنف تجريبي رقم 10-3,120.00,18.0%
SKU-010-04,صنف تجريبي رقم 10-4,120.00,18.0%
SKU-010-05,صنف تجريبي رقم 10-5,120.00,18.0%
SKU-010-06,صنف تجريبي رقم 10-6,120.00,18.0%
SKU-010-07,صنف تجريبي رقم 10-7,120.00,18.0%
SKU-010-08,صنف تجريبي رقم 10-8,120.00,18.0%
SKU-010-09,صنف تجريبي رقم 10-9,120.00,18.0%
SKU-010-10,صنف تجريبي رقم 10-10,120.00,18.0%
SKU-010-11,صنف تجريبي رقم 10-11,120.00,18.0%
SKU-010-12,صنف تجريبي رقم 10-12,120.00,18.0%
SKU-010-13,صنف تجريبي رقم 10-13,120.00,18.0%
SKU-010-14,صنف تجريبي رقم 10-14,120.00,18.0%
SKU-010-15,صنف تجريبي رقم 10-15,120.00,18.0%
