كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-54-1,دواء بنادول اكسترا تشغيلة 54-1,51.50,15.5%
SKU-54-2,دواء بنادول اكسترا تشغيلة 54-2,52.50,15.5%
SKU-54-3,دواء بنادول اكسترا تشغيلة 54-3,53.50,15.5%
SKU-54-4,دواء بنادول اكسترا تشغيلة 54-4,54.50,15.5%
SKU-54-5,دواء بنادول اكسترا تشغيلة 54-5,55.50,15.5%
SKU-54-6,دواء بنادول اكسترا تشغيلة 54-6,56.50,15.5%
SKU-54-7,دواء بنادول اكسترا تشغيلة 54-7,57.50,15.5%
SKU-54-8,دواء بنادول اكسترا تشغيلة 54-8,58.50,15.5%
SKU-54-9,دواء بنادول اكسترا تشغيلة 54-9,59.50,15.5%
SKU-54-10,دواء بنادول اكسترا تشغيلة 54-10,60.50,15.5%
SKU-54-11,دواء بنادول اكسترا تشغيلة 54-11,61.50,15.5%
SKU-54-12,دواء بنادول اكسترا تشغيلة 54-12,62.50,15.5%
SKU-54-13,دواء بنادول اكسترا تشغيلة 54-13,63.50,15.5%
SKU-54-14,دواء بنادول اكسترا تشغيلة 54-14,64.50,15.5%
SKU-54-15,دواء بنادول اكسترا تشغيلة 54-15,65.50,15.5%
SKU-54-16,دواء بنادول اكسترا تشغيلة 54-16,66.50,15.5%
SKU-54-17,دواء بنادول اكسترا تشغيلة 54-17,67.50,15.5%
SKU-54-18,دواء بنادول اكسترا تشغيلة 54-18,68.50,15.5%
SKU-54-19,دواء بنادول اكسترا تشغيلة 54-19,69.50,15.5%
SKU-54-20,دواء بنادول اكسترا تشغيلة 54-20,70.50,15.5%
