كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-10-1,دواء بنادول اكسترا تشغيلة 10-1,51.50,15.5%
SKU-10-2,دواء بنادول اكسترا تشغيلة 10-2,52.50,15.5%
SKU-10-3,دواء بنادول اكسترا تشغيلة 10-3,53.50,15.5%
SKU-10-4,دواء بنادول اكسترا تشغيلة 10-4,54.50,15.5%
SKU-10-5,دواء بنادول اكسترا تشغيلة 10-5,55.50,15.5%
SKU-10-6,دواء بنادول اكسترا تشغيلة 10-6,56.50,15.5%
SKU-10-7,دواء بنادول اكسترا تشغيلة 10-7,57.50,15.5%
SKU-10-8,دواء بنادول اكسترا تشغيلة 10-8,58.50,15.5%
SKU-10-9,دواء بنادول اكسترا تشغيلة 10-9,59.50,15.5%
SKU-10-10,دواء بنادول اكسترا تشغيلة 10-10,60.50,15.5%
SKU-10-11,دواء بنادول اكسترا تشغيلة 10-11,61.50,15.5%
SKU-10-12,دواء بنادول اكسترا تشغيلة 10-12,62.50,15.5%
SKU-10-13,دواء بنادول اكسترا تشغيلة 10-13,63.50,15.5%
SKU-10-14,دواء بنادول اكسترا تشغيلة 10-14,64.50,15.5%
SKU-10-15,دواء بنادول اكسترا تشغيلة 10-15,65.50,15.5%
SKU-10-16,دواء بنادول اكسترا تشغيلة 10-16,66.50,15.5%
SKU-10-17,دواء بنادول اكسترا تشغيلة 10-17,67.50,15.5%
SKU-10-18,دواء بنادول اكسترا تشغيلة 10-18,68.50,15.5%
SKU-10-19,دواء بنادول اكسترا تشغيلة 10-19,69.50,15.5%
SKU-10-20,دواء بنادول اكسترا تشغيلة 10-20,70.50,15.5%
