كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-41-1,دواء بنادول اكسترا تشغيلة 41-1,51.50,15.5%
SKU-41-2,دواء بنادول اكسترا تشغيلة 41-2,52.50,15.5%
SKU-41-3,دواء بنادول اكسترا تشغيلة 41-3,53.50,15.5%
SKU-41-4,دواء بنادول اكسترا تشغيلة 41-4,54.50,15.5%
SKU-41-5,دواء بنادول اكسترا تشغيلة 41-5,55.50,15.5%
SKU-41-6,دواء بنادول اكسترا تشغيلة 41-6,56.50,15.5%
SKU-41-7,دواء بنادول اكسترا تشغيلة 41-7,57.50,15.5%
SKU-41-8,دواء بنادول اكسترا تشغيلة 41-8,58.50,15.5%
SKU-41-9,دواء بنادول اكسترا تشغيلة 41-9,59.50,15.5%
SKU-41-10,دواء بنادول اكسترا تشغيلة 41-10,60.50,15.5%
SKU-41-11,دواء بنادول اكسترا تشغيلة 41-11,61.50,15.5%
SKU-41-12,دواء بنادول اكسترا تشغيلة 41-12,62.50,15.5%
SKU-41-13,دواء بنادول اكسترا تشغيلة 41-13,63.50,15.5%
SKU-41-14,دواء بنادول اكسترا تشغيلة 41-14,64.50,15.5%
SKU-41-15,دواء بنادول اكسترا تشغيلة 41-15,65.50,15.5%
SKU-41-16,دواء بنادول اكسترا تشغيلة 41-16,66.50,15.5%
SKU-41-17,دواء بنادول اكسترا تشغيلة 41-17,67.50,15.5%
SKU-41-18,دواء بنادول اكسترا تشغيلة 41-18,68.50,15.5%
SKU-41-19,دواء بنادول اكسترا تشغيلة 41-19,69.50,15.5%
SKU-41-20,دواء بنادول اكسترا تشغيلة 41-20,70.50,15.5%
