كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-065-01,صنف تجريبي رقم 65-1,120.00,18.0%
SKU-065-02,صنف تجريبي رقم 65-2,120.00,18.0%
SKU-065-03,صنف تجريبي رقم 65-3,120.00,18.0%
SKU-065-04,صنف تجريبي رقم 65-4,120.00,18.0%
SKU-065-05,صنف تجريبي رقم 65-5,120.00,18.0%
SKU-065-06,صنف تجريبي رقم 65-6,120.00,18.0%
SKU-065-07,صنف تجريبي رقم 65-7,120.00,18.0%
SKU-065-08,صنف تجريبي رقم 65-8,120.00,18.0%
SKU-065-09,صنف تجريبي رقم 65-9,120.00,18.0%
SKU-065-10,صنف تجريبي رقم 65-10,120.00,18.0%
SKU-065-11,صنف تجريبي رقم 65-11,120.00,18.0%
SKU-065-12,صنف تجريبي رقم 65-12,120.00,18.0%
SKU-065-13,صنف تجريبي رقم 65-13,120.00,18.0%
SKU-065-14,صنف تجريبي رقم 65-14,120.00,18.0%
SKU-065-15,صنف تجريبي رقم 65-15,120.00,18.0%
