كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-20-1,دواء بنادول اكسترا تشغيلة 20-1,51.50,15.5%
SKU-20-2,دواء بنادول اكسترا تشغيلة 20-2,52.50,15.5%
SKU-20-3,دواء بنادول اكسترا تشغيلة 20-3,53.50,15.5%
SKU-20-4,دواء بنادول اكسترا تشغيلة 20-4,54.50,15.5%
SKU-20-5,دواء بنادول اكسترا تشغيلة 20-5,55.50,15.5%
SKU-20-6,دواء بنادول اكسترا تشغيلة 20-6,56.50,15.5%
SKU-20-7,دواء بنادول اكسترا تشغيلة 20-7,57.50,15.5%
SKU-20-8,دواء بنادول اكسترا تشغيلة 20-8,58.50,15.5%
SKU-20-9,دواء بنادول اكسترا تشغيلة 20-9,59.50,15.5%
SKU-20-10,دواء بنادول اكسترا تشغيلة 20-10,60.50,15.5%
SKU-20-11,دواء بنادول اكسترا تشغيلة 20-11,61.50,15.5%
SKU-20-12,دواء بنادول اكسترا تشغيلة 20-12,62.50,15.5%
SKU-20-13,دواء بنادول اكسترا تشغيلة 20-13,63.50,15.5%
SKU-20-14,دواء بنادول اكسترا تشغيلة 20-14,64.50,15.5%
SKU-20-15,دواء بنادول اكسترا تشغيلة 20-15,65.50,15.5%
SKU-20-16,دواء بنادول اكسترا تشغيلة 20-16,66.50,15.5%
SKU-20-17,دواء بنادول اكسترا تشغيلة 20-17,67.50,15.5%
SKU-20-18,دواء بنادول اكسترا تشغيلة 20-18,68.50,15.5%
SKU-20-19,دواء بنادول اكسترا تشغيلة 20-19,69.50,15.5%
SKU-20-20,دواء بنادول اكسترا تشغيلة 20-20,70.50,15.5%
