كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-022-01,صنف تجريبي رقم 22-1,120.00,18.0%
SKU-022-02,صنف تجريبي رقم 22-2,120.00,18.0%
SKU-022-03,صنف تجريبي رقم 22-3,120.00,18.0%
SKU-022-04,صنف تجريبي رقم 22-4,120.00,18.0%
SKU-022-05,صنف تجريبي رقم 22-5,120.00,18.0%
SKU-022-06,صنف تجريبي رقم 22-6,120.00,18.0%
SKU-022-07,صنف تجريبي رقم 22-7,120.00,18.0%
SKU-022-08,صنف تجريبي رقم 22-8,120.00,18.0%
SKU-022-09,صنف تجريبي رقم 22-9,120.00,18.0%
SKU-022-10,صنف تجريبي رقم 22-10,120.00,18.0%
SKU-022-11,صنف تجريبي رقم 22-11,120.00,18.0%
SKU-022-12,صنف تجريبي رقم 22-12,120.00,18.0%
SKU-022-13,صنف تجريبي رقم 22-13,120.00,18.0%
SKU-022-14,صنف تجريبي رقم 22-14,120.00,18.0%
SKU-022-15,صنف تجريبي رقم 22-15,120.00,18.0%
