كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-008-01,صنف تجريبي رقم 8-1,120.00,18.0%
SKU-008-02,صنف تجريبي رقم 8-2,120.00,18.0%
SKU-008-03,صنف تجريبي رقم 8-3,120.00,18.0%
SKU-008-04,صنف تجريبي رقم 8-4,120.00,18.0%
SKU-008-05,صنف تجريبي رقم 8-5,120.00,18.0%
SKU-008-06,صنف تجريبي رقم 8-6,120.00,18.0%
SKU-008-07,صنف تجريبي رقم 8-7,120.00,18.0%
SKU-008-08,صنف تجريبي رقم 8-8,120.00,18.0%
SKU-008-09,صنف تجريبي رقم 8-9,120.00,18.0%
SKU-008-10,صنف تجريبي رقم 8-10,120.00,18.0%
SKU-008-11,صنف تجريبي رقم 8-11,120.00,18.0%
SKU-008-12,صنف تجريبي رقم 8-12,120.00,18.0%
SKU-008-13,صنف تجريبي رقم 8-13,120.00,18.0%
SKU-008-14,صنف تجريبي رقم 8-14,120.00,18.0%
SKU-008-15,صنف تجريبي رقم 8-15,120.00,18.0%
