كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-032-01,صنف تجريبي رقم 32-1,120.00,18.0%
SKU-032-02,صنف تجريبي رقم 32-2,120.00,18.0%
SKU-032-03,صنف تجريبي رقم 32-3,120.00,18.0%
SKU-032-04,صنف تجريبي رقم 32-4,120.00,18.0%
SKU-032-05,صنف تجريبي رقم 32-5,120.00,18.0%
SKU-032-06,صنف تجريبي رقم 32-6,120.00,18.0%
SKU-032-07,صنف تجريبي رقم 32-7,120.00,18.0%
SKU-032-08,صنف تجريبي رقم 32-8,120.00,18.0%
SKU-032-09,صنف تجريبي رقم 32-9,120.00,18.0%
SKU-032-10,صنف تجريبي رقم 32-10,120.00,18.0%
SKU-032-11,صنف تجريبي رقم 32-11,120.00,18.0%
SKU-032-12,صنف تجريبي رقم 32-12,120.00,18.0%
SKU-032-13,صنف تجريبي رقم 32-13,120.00,18.0%
SKU-032-14,صنف تجريبي رقم 32-14,120.00,18.0%
SKU-032-15,صنف تجريبي رقم 32-15,120.00,18.0%
