كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-24-1,دواء بنادول اكسترا تشغيلة 24-1,51.50,15.5%
SKU-24-2,دواء بنادول اكسترا تشغيلة 24-2,52.50,15.5%
SKU-24-3,دواء بنادول اكسترا تشغيلة 24-3,53.50,15.5%
SKU-24-4,دواء بنادول اكسترا تشغيلة 24-4,54.50,15.5%
SKU-24-5,دواء بنادول اكسترا تشغيلة 24-5,55.50,15.5%
SKU-24-6,دواء بنادول اكسترا تشغيلة 24-6,56.50,15.5%
SKU-24-7,دواء بنادول اكسترا تشغيلة 24-7,57.50,15.5%
SKU-24-8,دواء بنادول اكسترا تشغيلة 24-8,58.50,15.5%
SKU-24-9,دواء بنادول اكسترا تشغيلة 24-9,59.50,15.5%
SKU-24-10,دواء بنادول اكسترا تشغيلة 24-10,60.50,15.5%
SKU-24-11,دواء بنادول اكسترا تشغيلة 24-11,61.50,15.5%
SKU-24-12,دواء بنادول اكسترا تشغيلة 24-12,62.50,15.5%
SKU-24-13,دواء بنادول اكسترا تشغيلة 24-13,63.50,15.5%
SKU-24-14,دواء بنادول اكسترا تشغيلة 24-14,64.50,15.5%
SKU-24-15,دواء بنادول اكسترا تشغيلة 24-15,65.50,15.5%
SKU-24-16,دواء بنادول اكسترا تشغيلة 24-16,66.50,15.5%
SKU-24-17,دواء بنادول اكسترا تشغيلة 24-17,67.50,15.5%
SKU-24-18,دواء بنادول اكسترا تشغيلة 24-18,68.50,15.5%
SKU-24-19,دواء بنادول اكسترا تشغيلة 24-19,69.50,15.5%
SKU-24-20,دواء بنادول اكسترا تشغيلة 24-20,70.50,15.5%
