كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-005-01,صنف تجريبي رقم 5-1,120.00,18.0%
SKU-005-02,صنف تجريبي رقم 5-2,120.00,18.0%
SKU-005-03,صنف تجريبي رقم 5-3,120.00,18.0%
SKU-005-04,صنف تجريبي رقم 5-4,120.00,18.0%
SKU-005-05,صنف تجريبي رقم 5-5,120.00,18.0%
SKU-005-06,صنف تجريبي رقم 5-6,120.00,18.0%
SKU-005-07,صنف تجريبي رقم 5-7,120.00,18.0%
SKU-005-08,صنف تجريبي رقم 5-8,120.00,18.0%
SKU-005-09,صنف تجريبي رقم 5-9,120.00,18.0%
SKU-005-10,صنف تجريبي رقم 5-10,120.00,18.0%
SKU-005-11,صنف تجريبي رقم 5-11,120.00,18.0%
SKU-005-12,صنف تجريبي رقم 5-12,120.00,18.0%
SKU-005-13,صنف تجريبي رقم 5-13,120.00,18.0%
SKU-005-14,صنف تجريبي رقم 5-14,120.00,18.0%
SKU-005-15,صنف تجريبي رقم 5-15,120.00,18.0%
