كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-097-01,صنف تجريبي رقم 97-1,120.00,18.0%
SKU-097-02,صنف تجريبي رقم 97-2,120.00,18.0%
SKU-097-03,صنف تجريبي رقم 97-3,120.00,18.0%
SKU-097-04,صنف تجريبي رقم 97-4,120.00,18.0%
SKU-097-05,صنف تجريبي رقم 97-5,120.00,18.0%
SKU-097-06,صنف تجريبي رقم 97-6,120.00,18.0%
SKU-097-07,صنف تجريبي رقم 97-7,120.00,18.0%
SKU-097-08,صنف تجريبي رقم 97-8,120.00,18.0%
SKU-097-09,صنف تجريبي رقم 97-9,120.00,18.0%
SKU-097-10,صنف تجريبي رقم 97-10,120.00,18.0%
SKU-097-11,صنف تجريبي رقم 97-11,120.00,18.0%
SKU-097-12,صنف تجريبي رقم 97-12,120.00,18.0%
SKU-097-13,صنف تجريبي رقم 97-13,120.00,18.0%
SKU-097-14,صنف تجريبي رقم 97-14,120.00,18.0%
SKU-097-15,صنف تجريبي رقم 97-15,120.00,18.0%
