كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-070-01,صنف تجريبي رقم 70-1,120.00,18.0%
SKU-070-02,صنف تجريبي رقم 70-2,120.00,18.0%
SKU-070-03,صنف تجريبي رقم 70-3,120.00,18.0%
SKU-070-04,صنف تجريبي رقم 70-4,120.00,18.0%
SKU-070-05,صنف تجريبي رقم 70-5,120.00,18.0%
SKU-070-06,صنف تجريبي رقم 70-6,120.00,18.0%
SKU-070-07,صنف تجريبي رقم 70-7,120.00,18.0%
SKU-070-08,صنف تجريبي رقم 70-8,120.00,18.0%
SKU-070-09,صنف تجريبي رقم 70-9,120.00,18.0%
SKU-070-10,صنف تجريبي رقم 70-10,120.00,18.0%
SKU-070-11,صنف تجريبي رقم 70-11,120.00,18.0%
SKU-070-12,صنف تجريبي رقم 70-12,120.00,18.0%
SKU-070-13,صنف تجريبي رقم 70-13,120.00,18.0%
SKU-070-14,صنف تجريبي رقم 70-14,120.00,18.0%
SKU-070-15,صنف تجريبي رقم 70-15,120.00,18.0%
