كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-061-01,صنف تجريبي رقم 61-1,120.00,18.0%
SKU-061-02,صنف تجريبي رقم 61-2,120.00,18.0%
SKU-061-03,صنف تجريبي رقم 61-3,120.00,18.0%
SKU-061-04,صنف تجريبي رقم 61-4,120.00,18.0%
SKU-061-05,صنف تجريبي رقم 61-5,120.00,18.0%
SKU-061-06,صنف تجريبي رقم 61-6,120.00,18.0%
SKU-061-07,صنف تجريبي رقم 61-7,120.00,18.0%
SKU-061-08,صنف تجريبي رقم 61-8,120.00,18.0%
SKU-061-09,صنف تجريبي رقم 61-9,120.00,18.0%
SKU-061-10,صنف تجريبي رقم 61-10,120.00,18.0%
SKU-061-11,صنف تجريبي رقم 61-11,120.00,18.0%
SKU-061-12,صنف تجريبي رقم 61-12,120.00,18.0%
SKU-061-13,صنف تجريبي رقم 61-13,120.00,18.0%
SKU-061-14,صنف تجريبي رقم 61-14,120.00,18.0%
SKU-061-15,صنف تجريبي رقم 61-15,120.00,18.0%
