كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-044-01,صنف تجريبي رقم 44-1,120.00,18.0%
SKU-044-02,صنف تجريبي رقم 44-2,120.00,18.0%
SKU-044-03,صنف تجريبي رقم 44-3,120.00,18.0%
SKU-044-04,صنف تجريبي رقم 44-4,120.00,18.0%
SKU-044-05,صنف تجريبي رقم 44-5,120.00,18.0%
SKU-044-06,صنف تجريبي رقم 44-6,120.00,18.0%
SKU-044-07,صنف تجريبي رقم 44-7,120.00,18.0%
SKU-044-08,صنف تجريبي رقم 44-8,120.00,18.0%
SKU-044-09,صنف تجريبي رقم 44-9,120.00,18.0%
SKU-044-10,صنف تجريبي رقم 44-10,120.00,18.0%
SKU-044-11,صنف تجريبي رقم 44-11,120.00,18.0%
SKU-044-12,صنف تجريبي رقم 44-12,120.00,18.0%
SKU-044-13,صنف تجريبي رقم 44-13,120.00,18.0%
SKU-044-14,صنف تجريبي رقم 44-14,120.00,18.0%
SKU-044-15,صنف تجريبي رقم 44-15,120.00,18.0%
