كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-53-1,دواء بنادول اكسترا تشغيلة 53-1,51.50,15.5%
SKU-53-2,دواء بنادول اكسترا تشغيلة 53-2,52.50,15.5%
SKU-53-3,دواء بنادول اكسترا تشغيلة 53-3,53.50,15.5%
SKU-53-4,دواء بنادول اكسترا تشغيلة 53-4,54.50,15.5%
SKU-53-5,دواء بنادول اكسترا تشغيلة 53-5,55.50,15.5%
SKU-53-6,دواء بنادول اكسترا تشغيلة 53-6,56.50,15.5%
SKU-53-7,دواء بنادول اكسترا تشغيلة 53-7,57.50,15.5%
SKU-53-8,دواء بنادول اكسترا تشغيلة 53-8,58.50,15.5%
SKU-53-9,دواء بنادول اكسترا تشغيلة 53-9,59.50,15.5%
SKU-53-10,دواء بنادول اكسترا تشغيلة 53-10,60.50,15.5%
SKU-53-11,دواء بنادول اكسترا تشغيلة 53-11,61.50,15.5%
SKU-53-12,دواء بنادول اكسترا تشغيلة 53-12,62.50,15.5%
SKU-53-13,دواء بنادول اكسترا تشغيلة 53-13,63.50,15.5%
SKU-53-14,دواء بنادول اكسترا تشغيلة 53-14,64.50,15.5%
SKU-53-15,دواء بنادول اكسترا تشغيلة 53-15,65.50,15.5%
SKU-53-16,دواء بنادول اكسترا تشغيلة 53-16,66.50,15.5%
SKU-53-17,دواء بنادول اكسترا تشغيلة 53-17,67.50,15.5%
SKU-53-18,دواء بنادول اكسترا تشغيلة 53-18,68.50,15.5%
SKU-53-19,دواء بنادول اكسترا تشغيلة 53-19,69.50,15.5%
SKU-53-20,دواء بنادول اكسترا تشغيلة 53-20,70.50,15.5%
