كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-056-01,صنف تجريبي رقم 56-1,120.00,18.0%
SKU-056-02,صنف تجريبي رقم 56-2,120.00,18.0%
SKU-056-03,صنف تجريبي رقم 56-3,120.00,18.0%
SKU-056-04,صنف تجريبي رقم 56-4,120.00,18.0%
SKU-056-05,صنف تجريبي رقم 56-5,120.00,18.0%
SKU-056-06,صنف تجريبي رقم 56-6,120.00,18.0%
SKU-056-07,صنف تجريبي رقم 56-7,120.00,18.0%
SKU-056-08,صنف تجريبي رقم 56-8,120.00,18.0%
SKU-056-09,صنف تجريبي رقم 56-9,120.00,18.0%
SKU-056-10,صنف تجريبي رقم 56-10,120.00,18.0%
SKU-056-11,صنف تجريبي رقم 56-11,120.00,18.0%
SKU-056-12,صنف تجريبي رقم 56-12,120.00,18.0%
SKU-056-13,صنف تجريبي رقم 56-13,120.00,18.0%
SKU-056-14,صنف تجريبي رقم 56-14,120.00,18.0%
SKU-056-15,صنف تجريبي رقم 56-15,120.00,18.0%
