كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-019-01,صنف تجريبي رقم 19-1,120.00,18.0%
SKU-019-02,صنف تجريبي رقم 19-2,120.00,18.0%
SKU-019-03,صنف تجريبي رقم 19-3,120.00,18.0%
SKU-019-04,صنف تجريبي رقم 19-4,120.00,18.0%
SKU-019-05,صنف تجريبي رقم 19-5,120.00,18.0%
SKU-019-06,صنف تجريبي رقم 19-6,120.00,18.0%
SKU-019-07,صنف تجريبي رقم 19-7,120.00,18.0%
SKU-019-08,صنف تجريبي رقم 19-8,120.00,18.0%
SKU-019-09,صنف تجريبي رقم 19-9,120.00,18.0%
SKU-019-10,صنف تجريبي رقم 19-10,120.00,18.0%
SKU-019-11,صنف تجريبي رقم 19-11,120.00,18.0%
SKU-019-12,صنف تجريبي رقم 19-12,120.00,18.0%
SKU-019-13,صنف تجريبي رقم 19-13,120.00,18.0%
SKU-019-14,صنف تجريبي رقم 19-14,120.00,18.0%
SKU-019-15,صنف تجريبي رقم 19-15,120.00,18.0%
