كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-050-01,صنف تجريبي رقم 50-1,120.00,18.0%
SKU-050-02,صنف تجريبي رقم 50-2,120.00,18.0%
SKU-050-03,صنف تجريبي رقم 50-3,120.00,18.0%
SKU-050-04,صنف تجريبي رقم 50-4,120.00,18.0%
SKU-050-05,صنف تجريبي رقم 50-5,120.00,18.0%
SKU-050-06,صنف تجريبي رقم 50-6,120.00,18.0%
SKU-050-07,صنف تجريبي رقم 50-7,120.00,18.0%
SKU-050-08,صنف تجريبي رقم 50-8,120.00,18.0%
SKU-050-09,صنف تجريبي رقم 50-9,120.00,18.0%
SKU-050-10,صنف تجريبي رقم 50-10,120.00,18.0%
SKU-050-11,صنف تجريبي رقم 50-11,120.00,18.0%
SKU-050-12,صنف تجريبي رقم 50-12,120.00,18.0%
SKU-050-13,صنف تجريبي رقم 50-13,120.00,18.0%
SKU-050-14,صنف تجريبي رقم 50-14,120.00,18.0%
SKU-050-15,صنف تجريبي رقم 50-15,120.00,18.0%
